KW1	KW2	P.value	adj.P.value	FisherP.value	ztPois.cdf	Raw.CO.Occurrence	Expansion	PMIDlist
antineoplastic agents/chemistry	macrophages/cytology	3.98433250663466e-05	0.000130412689269	0.074074074074074	0.491090027111315	1	0	[31509699]
antineoplastic agents/chemistry	mitochondria/drug effects	0.0028851458065133	0.0060410995226632	0.074074074074074	0.491090027111315	1	0	[31509699]
antineoplastic agents/chemistry	neoplasms/drug therapy	5.6844185756133e-05	0.0001786003669477	0.074074074074074	0.491090027111315	1	0	[31509699]
antineoplastic agents/chemistry	protein kinase inhibitors/chemistry	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[31509699]
antineoplastic agents/chemistry	pyruvate dehydrogenase acetyl-transferring kinase/antagonists &amp; inhibitors	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[31509699]
antineoplastic agents/chemistry	saponins/chemistry	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[31509699]
antineoplastic agents/pharmacology	autophagy-related proteins/genetics	0.0024359773054146	0.0038788378911146	0.102941176470588	0.5011717509037	1	1	[33926261]
antineoplastic agents/pharmacology	autophagy/drug effects	2.27004838070366e-05	4.94963089276031e-05	0.0092186128182616	0.186828306325089	2	1	[33277233,33926261]
antineoplastic agents/pharmacology	basic-leucine zipper transcription factors/analysis	0.0024359773054146	0.0038788378911146	0.102941176470588	0.5011717509037	1	1	[34991659]
antineoplastic agents/pharmacology	cd8-positive t-lymphocytes/drug effects	0.0015588727606166	0.0025467155403098	0.102941176470588	0.5011717509037	1	1	[33277233]
antineoplastic agents/pharmacology	cell cycle/drug effects	0.0024359773054146	0.0038788378911146	0.102941176470588	0.5011717509037	1	1	[33926261]
antineoplastic agents/pharmacology	colonic neoplasms/drug therapy	0.0050078979304749	0.0074820939061317	0.102941176470588	0.5011717509037	1	1	[33547170]
antineoplastic agents/pharmacology	drug resistance neoplasm	0.0024359773054146	0.0038788378911146	0.102941176470588	0.5011717509037	1	1	[34991659]
antineoplastic agents/pharmacology	endoplasmic reticulum/drug effects	0.0015588727606166	0.0025467155403098	0.102941176470588	0.5011717509037	1	1	[33277233]
antineoplastic agents/pharmacology	flavonolignans/pharmacology	0.0024359773054146	0.0038788378911146	0.102941176470588	0.5011717509037	1	1	[33926261]
antineoplastic agents/pharmacology	glutathione peroxidase/metabolism	0.0024359773054146	0.0038788378911146	0.102941176470588	0.5011717509037	1	1	[33926261]
antineoplastic agents/pharmacology	heme oxygenase-1/metabolism	0.0050078979304749	0.0074820939061317	0.102941176470588	0.5011717509037	1	1	[33547170]
antineoplastic agents/pharmacology	jurkat cells	0.0001806054803238	0.0003441636472961	0.0092186128182616	0.186828306325089	2	1	[32778843,33926261]
antineoplastic agents/pharmacology	lymphocytes tumor-infiltrating/immunology	0.0050078979304749	0.0074820939061317	0.102941176470588	0.5011717509037	1	1	[33547170]
antineoplastic agents/pharmacology	membrane proteins/metabolism	0.0050078979304749	0.0074820939061317	0.102941176470588	0.5011717509037	1	1	[33547170]
antineoplastic agents/pharmacology	myeloid-derived suppressor cells/immunology	0.0050078979304749	0.0074820939061317	0.102941176470588	0.5011717509037	1	1	[33547170]
antineoplastic agents/pharmacology	neutral ceramidase/antagonists &amp; inhibitors	0.0050078979304749	0.0074820939061317	0.102941176470588	0.5011717509037	1	1	[33547170]
antineoplastic agents/pharmacology	precursor cell lymphoblastic leukemia-lymphoma/metabolism	0.0024359773054146	0.0038788378911146	0.102941176470588	0.5011717509037	1	1	[33926261]
antineoplastic agents/pharmacology	reactive oxygen species/metabolism	0.0057497382773835	0.0084878216753878	0.0201800567513806	0.054769758680606	3	1	[33547170,32778843,33926261]
antineoplastic agents/pharmacology	t-lymphocytes/immunology	0.0050078979304749	0.0074820939061317	0.102941176470588	0.5011717509037	1	1	[33547170]
antineoplastic agents/pharmacology	triple negative breast neoplasms/drug therapy	0.0024359773054146	0.0038788378911146	0.102941176470588	0.5011717509037	1	1	[34991659]
